#tax_id	GeneID	GO_ID	Evidence	Qualifier	GO_term	PubMed	Category
2711	102577933	GO:0004449	IEA	enables	isocitrate dehydrogenase (NAD+) activity	30032202	Function
2711	102577933	GO:0005739	IEA	located_in	mitochondrion	30032202	Component
2711	102577933	GO:0006099	IEA	involved_in	tricarboxylic acid cycle	22301074|30032202	Process
2711	102577933	GO:0006102	IEA	involved_in	isocitrate metabolic process	30032202	Process
2711	102577934	GO:0004497	IEA	enables	monooxygenase activity	22301074	Function
2711	102577934	GO:0005506	IEA	enables	iron ion binding	22301074	Function
2711	102577934	GO:0016705	IEA	enables	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	22301074	Function
2711	102577934	GO:0020037	IEA	enables	heme binding	22301074	Function
2711	102577935	GO:0005634	IEA	located_in	nucleus	30032202	Component
2711	102577935	GO:0006301	IEA	involved_in	DNA damage tolerance	30032202	Process
2711	102577935	GO:0061631	IEA	enables	ubiquitin conjugating enzyme activity	30032202	Function
2711	102577935	GO:0070534	IEA	involved_in	protein K63-linked ubiquitination	30032202	Process
2711	102577937	GO:0008271	IEA	enables	secondary active sulfate transmembrane transporter activity	22301074	Function
2711	102577937	GO:0016020	IEA	located_in	membrane	22301074|30032202	Component
2711	102577937	GO:0055085	IEA	involved_in	transmembrane transport	22301074|30032202	Process
2711	102577938	GO:0000978	IEA	enables	RNA polymerase II cis-regulatory region sequence-specific DNA binding	30032202	Function
2711	102577938	GO:0000981	IEA	enables	DNA-binding transcription factor activity, RNA polymerase II-specific	30032202	Function
2711	102577938	GO:0005634	IEA	located_in	nucleus	22301074	Component
2711	102577938	GO:0045944	IEA	involved_in	positive regulation of transcription by RNA polymerase II	22301074	Process
2711	102577938	GO:0046983	IEA	enables	protein dimerization activity	22301074	Function
2711	102577939	GO:0000978	IEA	enables	RNA polymerase II cis-regulatory region sequence-specific DNA binding	30032202	Function
2711	102577939	GO:0000981	IEA	enables	DNA-binding transcription factor activity, RNA polymerase II-specific	30032202	Function
2711	102577939	GO:0005634	IEA	located_in	nucleus	22301074	Component
2711	102577939	GO:0045944	IEA	involved_in	positive regulation of transcription by RNA polymerase II	22301074	Process
2711	102577939	GO:0046983	IEA	enables	protein dimerization activity	22301074	Function
2711	102577940	GO:0008911	IEA	enables	lactaldehyde dehydrogenase (NAD+) activity	30032202	Function
2711	102577941	GO:0008506	IEA	enables	sucrose:proton symporter activity	30032202	Function
2711	102577941	GO:0016020	IEA	located_in	membrane	30032202	Component
2711	102577941	GO:0055085	IEA	involved_in	transmembrane transport	22301074	Process
2711	102577942	GO:0000226	IEA	involved_in	microtubule cytoskeleton organization	30032202	Process
2711	102577942	GO:0000278	IEA	involved_in	mitotic cell cycle	30032202	Process
2711	102577942	GO:0003924	IEA	enables	GTPase activity	22301074	Function
2711	102577942	GO:0005200	IEA	enables	structural constituent of cytoskeleton	22301074|30032202	Function
2711	102577942	GO:0005525	IEA	enables	GTP binding	22301074|30032202	Function
2711	102577942	GO:0005737	IEA	located_in	cytoplasm	30032202	Component
2711	102577942	GO:0005874	IEA	located_in	microtubule	22301074|30032202	Component
2711	102577943	GO:0000994	IEA	enables	RNA polymerase III core binding	30032202	Function
2711	102577943	GO:0005634	IEA	located_in	nucleus	30032202	Component
2711	102577943	GO:0016480	IEA	involved_in	negative regulation of transcription by RNA polymerase III	22301074|30032202	Process
2711	102577945	GO:0030599	IEA	enables	pectinesterase activity	22301074|30032202	Function
2711	102577945	GO:0042545	IEA	involved_in	cell wall modification	22301074	Process
2711	102577945	GO:0046910	IEA	enables	pectinesterase inhibitor activity	30032202	Function
2711	102577946	GO:0000272	IEA	involved_in	polysaccharide catabolic process	22301074|30032202	Process
2711	102577946	GO:0016161	IEA	enables	beta-amylase activity	22301074|30032202	Function
2711	102577948	GO:0009522	IEA	part_of	photosystem I	22301074|30032202	Component
2711	102577948	GO:0009538	IEA	part_of	photosystem I reaction center	22301074|30032202	Component
2711	102577948	GO:0015979	IEA	involved_in	photosynthesis	22301074|30032202	Process
2711	102577949	GO:0016117	IEA	involved_in	carotenoid biosynthetic process	22301074	Process
2711	102577949	GO:0016491	IEA	enables	oxidoreductase activity	22301074	Function
2711	102577949	GO:0046608	IEA	enables	carotenoid isomerase activity	22301074	Function
2711	102577950	GO:0005759	IEA	located_in	mitochondrial matrix	30032202	Component
2711	102577950	GO:0005975	IEA	involved_in	carbohydrate metabolic process	30032202	Process
2711	102577950	GO:0006099	IEA	involved_in	tricarboxylic acid cycle	22301074|30032202	Process
