#tax_id	GeneID	PubMed_ID
24	67441593	1779750
24	67441593	16753031
24	67441593	21620858
24	67441594	21219854
24	67441594	30366028
24	67441595	15186413
24	67441595	19451222
24	67441595	26874520
24	67441595	37081315
24	67441595	37125644
24	67441597	9868367
24	67441597	10943560
24	67441598	9490048
24	67441601	7754395
24	67441601	8550522
24	67441601	8590465
24	67441601	9144792
24	67441601	9878395
24	67441602	11886751
24	67441604	368024
24	67441604	2191949
24	67441604	6350283
24	67441604	7012144
24	67441605	1699931
24	67441607	15103642
24	67441610	10473770
24	67441610	12829264
24	67441610	15808743
24	67441610	28436329
24	67441610	28512703
24	67441610	30191942
24	67441612	10423425
24	67441612	20333436
24	67441616	9126850
24	67441617	18430080
24	67441617	24652063
24	67441618	7768823
24	67441618	10482496
24	67441618	12123453
24	67441618	14617176
24	67441620	7770916
24	67441620	11395412
24	67441620	12042765
24	67441620	17293019
24	67441620	19208647
24	67441620	21087076
24	67441620	26435256
24	67441620	39508659
24	67441621	1325384
24	67441621	21775474
24	67441621	22378793
24	67441623	11696555
24	67441623	16061809
24	67441623	19281958
24	67441623	26788940
24	67441623	32863222
24	67441626	10611359
24	67441626	11696553
24	67441626	11747907
24	67441626	15500694
24	67441630	11557134
24	67441631	1409539
24	67441636	20434458
24	67441638	10395550
24	67441638	10647174
24	67441638	12594933
24	67441638	18568041
24	67441638	22723177
24	67441638	31252007
24	67441639	17981968
24	67441639	20021644
24	67441639	21636901
24	67441639	32057832
24	67441641	26678554
24	67441642	19919105
24	67441642	39136457
24	67441643	10735872
24	67441643	11092948
24	67441643	11709175
24	67441648	10531340
24	67441649	12691742
24	67441649	16037492
24	67441650	9334165
24	67441653	9084178
24	67441654	9573603
24	67441654	14697267
24	67441654	19478949
24	67441654	26125548
24	67441655	11747907
24	67441655	15500694
24	67441656	17109392
24	67441657	10648531
24	67441658	9445404
24	67441658	10508766
24	67441658	10521532
24	67441658	12200473
24	67441658	12691742
24	67441662	10480925
24	67441662	20851704
24	67441666	31235512
24	67441668	12719427
24	67441669	10529352
24	67441669	12370001
24	67441669	24638992
24	67441669	25750732
24	67441670	30672551
24	67441672	8830233
24	67441672	10966457
24	67441672	12618438
24	67441672	20226724
24	67441673	8029829
24	67441673	10339418
24	67441673	10637609
24	67441673	10966457
24	67441673	23863173
24	67441673	25324303
24	67441673	27049771
24	67441674	9175471
24	67441674	10940244
24	67441674	15581578
24	67441674	26818562
24	67441674	27367672
24	67441677	11450855
24	67441678	1864505
24	67441678	1977073
24	67441678	2229036
24	67441678	9872322
24	67441679	9868367
24	67441679	11008484
24	67441680	7751275
24	67441687	12409204
24	67441687	17997964
24	67441692	2162835
24	67441694	11557134
24	67441697	14718169
24	67441697	15157101
24	67441697	15217611
24	67441697	15292259
24	67441698	10966457
24	67441698	11226872
24	67441698	31100988
24	67441699	15124630
24	67441702	18165013
24	67441702	20738376
24	67441704	3533941
24	67441704	7932717
24	67441704	8989318
24	67441704	9016718
24	67441704	15979641
24	67441704	21345178
24	67441704	24813471
24	67441704	25893523
24	67441704	28861396
24	67441705	7854424
24	67441705	12914698
24	67441705	14633991
24	67441706	8755871
24	67441706	17242308
24	67441707	26716576
24	67441707	29070681
24	67441709	11904168
24	67441709	12732651
24	67441711	10966457
24	67441712	10966457
24	67441712	11226872
24	67441712	31100988
24	67441713	8029829
24	67441713	10966457
24	67441713	11406410
24	67441713	11489844
24	67441713	12372152
24	67441713	18076326
24	67441714	8586275
24	67441715	23078170
24	67441721	23572593
24	67441722	26246409
24	67441722	31866287
24	67441722	33774036
24	67441723	12644381
24	67441724	10049365
24	67441724	10954195
24	67441724	15558583
24	67441725	1336371
24	67441725	8118433
24	67441725	9378722
24	67441730	8083153
24	67441730	10563795
24	67441730	12907296
24	67441733	9380672
24	67441735	8798618
24	67441735	9555905
24	67441736	6094487
24	67441736	6251087
24	67441736	6997313
24	67441736	7026564
24	67441736	16816185
24	67441739	7920261
24	67441739	8805513
24	67441739	9020778
