#tax_id	GeneID	Symbol	LocusTag	Synonyms	dbXrefs	chromosome	map_location	description	type_of_gene	Symbol_from_nomenclature_authority	Full_name_from_nomenclature_authority	Nomenclature_status	Other_designations	Modification_date	Feature_type
7	5692769	NEWENTRY	-	-	-	-	-	Record to support submission of GeneRIFs for a gene not in Gene (Azotirhizobium caulinodans.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).	other	-	-	-	-	20241113	-
9	2827857	NEWENTRY	-	-	-	-	-	Record to support submission of GeneRIFs for a gene not in Gene (Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).	other	-	-	-	-	20241113	-
11	10823747	NEWENTRY	-	-	-	-	-	Record to support submission of GeneRIFs for a gene not in Gene (Cellvibrio gilvus.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).	other	-	-	-	-	20241101	-
14	6951813	NEWENTRY	-	-	-	-	-	Record to support submission of GeneRIFs for a gene not in Gene (Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).	other	-	-	-	-	20241204	-
19	3758873	NEWENTRY	-	-	-	-	-	Record to support submission of GeneRIFs for a gene not in Gene (Pelobacter carbinolicus.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).	other	-	-	-	-	20241204	-
24	5129993	NEWENTRY	-	-	-	-	-	Record to support submission of GeneRIFs for a gene not in Gene (Alteromonas putrefaciens; Pseudomonas putrefaciens.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).	other	-	-	-	-	20241113	-
24	67441593	dnaA	JEZ96_RS00005	-	-	-	-	chromosomal replication initiator protein DnaA	protein-coding	-	-	-	chromosomal replication initiator protein DnaA	20260210	-
24	67441594	dnaN	JEZ96_RS00010	-	-	-	-	DNA polymerase III subunit beta	protein-coding	-	-	-	DNA polymerase III subunit beta	20260210	-
24	67441595	recF	JEZ96_RS00015	-	-	-	-	DNA replication/repair protein RecF	protein-coding	-	-	-	DNA replication/repair protein RecF	20260210	-
24	67441596	gyrB	JEZ96_RS00020	-	-	-	-	DNA topoisomerase (ATP-hydrolyzing) subunit B	protein-coding	-	-	-	DNA topoisomerase (ATP-hydrolyzing) subunit B	20260210	-
24	67441597	JEZ96_RS00025	JEZ96_RS00025	-	-	-	-	HDOD domain-containing protein	protein-coding	-	-	-	HDOD domain-containing protein	20260210	-
24	67441598	glyS	JEZ96_RS00030	-	-	-	-	glycine--tRNA ligase subunit beta	protein-coding	-	-	-	glycine--tRNA ligase subunit beta	20260210	-
24	67441599	glyQ	JEZ96_RS00035	-	-	-	-	glycine--tRNA ligase subunit alpha	protein-coding	-	-	-	glycine--tRNA ligase subunit alpha	20260210	-
24	67441600	JEZ96_RS00040	JEZ96_RS00040	-	-	-	-	DNA-3-methyladenine glycosylase I	protein-coding	-	-	-	DNA-3-methyladenine glycosylase I	20260210	-
24	67441601	JEZ96_RS00045	JEZ96_RS00045	-	-	-	-	amidohydrolase family protein	protein-coding	-	-	-	amidohydrolase family protein	20260210	-
24	67441602	JEZ96_RS00050	JEZ96_RS00050	-	-	-	-	MOSC domain-containing protein	protein-coding	-	-	-	MOSC domain-containing protein	20260210	-
24	67441603	tusA	JEZ96_RS00055	-	-	-	-	sulfurtransferase TusA	protein-coding	-	-	-	sulfurtransferase TusA	20260210	-
24	67441604	fadA	JEZ96_RS00060	-	-	-	-	acetyl-CoA C-acyltransferase FadA	protein-coding	-	-	-	acetyl-CoA C-acyltransferase FadA	20260210	-
24	67441605	fadB	JEZ96_RS00065	-	-	-	-	fatty acid oxidation complex subunit alpha FadB	protein-coding	-	-	-	fatty acid oxidation complex subunit alpha FadB	20260210	-
24	67441606	pepQ	JEZ96_RS00070	-	-	-	-	pseudo	pseudo	-	-	-	-	20241215	-
24	67441607	JEZ96_RS00075	JEZ96_RS00075	-	-	-	-	YigZ family protein	protein-coding	-	-	-	YigZ family protein	20260210	-
24	67441608	JEZ96_RS00080	JEZ96_RS00080	-	-	-	-	TrkH family potassium uptake protein	protein-coding	-	-	-	TrkH family potassium uptake protein	20260210	-
24	67441609	hemG	JEZ96_RS00085	-	-	-	-	menaquinone-dependent protoporphyrinogen IX dehydrogenase	protein-coding	-	-	-	menaquinone-dependent protoporphyrinogen IX dehydrogenase	20260210	-
24	67441610	JEZ96_RS00090	JEZ96_RS00090	-	-	-	-	ArsR/SmtB family transcription factor	protein-coding	-	-	-	ArsR/SmtB family transcription factor	20260210	-
24	67441611	hemG	JEZ96_RS00095	-	-	-	-	menaquinone-dependent protoporphyrinogen IX dehydrogenase	protein-coding	-	-	-	menaquinone-dependent protoporphyrinogen IX dehydrogenase	20260210	-
24	67441612	JEZ96_RS00100	JEZ96_RS00100	-	-	-	-	TrkH family potassium uptake protein	protein-coding	-	-	-	TrkH family potassium uptake protein	20260210	-
24	67441613	trkA	JEZ96_RS00105	-	-	-	-	Trk system potassium transporter TrkA	protein-coding	-	-	-	Trk system potassium transporter TrkA	20260210	-
24	67441614	rsmB	JEZ96_RS00110	-	-	-	-	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	protein-coding	-	-	-	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	20260210	-
24	67441615	fmt	JEZ96_RS00115	-	-	-	-	methionyl-tRNA formyltransferase	protein-coding	-	-	-	methionyl-tRNA formyltransferase	20260210	-
24	67441616	def	JEZ96_RS00120	-	-	-	-	peptide deformylase	protein-coding	-	-	-	peptide deformylase	20260210	-
24	67441617	JEZ96_RS00125	JEZ96_RS00125	-	-	-	-	LysM peptidoglycan-binding domain-containing protein	protein-coding	-	-	-	LysM peptidoglycan-binding domain-containing protein	20260210	-
24	67441618	dprA	JEZ96_RS00130	-	-	-	-	DNA-processing protein DprA	protein-coding	-	-	-	DNA-processing protein DprA	20260210	-
24	67441619	JEZ96_RS00135	JEZ96_RS00135	-	-	-	-	DUF494 family protein	protein-coding	-	-	-	DUF494 family protein	20260210	-
24	67441620	JEZ96_RS00140	JEZ96_RS00140	-	-	-	-	DNA topoisomerase family protein	protein-coding	-	-	-	DNA topoisomerase family protein	20260210	-
24	67441621	JEZ96_RS00145	JEZ96_RS00145	-	-	-	-	L-threonylcarbamoyladenylate synthase	protein-coding	-	-	-	L-threonylcarbamoyladenylate synthase	20260210	-
24	67441622	hemF	JEZ96_RS00150	-	-	-	-	oxygen-dependent coproporphyrinogen oxidase	protein-coding	-	-	-	oxygen-dependent coproporphyrinogen oxidase	20260210	-
24	67441623	JEZ96_RS00155	JEZ96_RS00155	-	-	-	-	group II truncated hemoglobin	protein-coding	-	-	-	group II truncated hemoglobin	20251214	-
24	67441624	aroE	JEZ96_RS00160	-	-	-	-	shikimate dehydrogenase	protein-coding	-	-	-	shikimate dehydrogenase	20260210	-
24	67441625	JEZ96_RS00165	JEZ96_RS00165	-	-	-	-	DUF1488 family protein	protein-coding	-	-	-	DUF1488 family protein	20260210	-
24	67441626	JEZ96_RS00170	JEZ96_RS00170	-	-	-	-	gamma carbonic anhydrase family protein	protein-coding	-	-	-	gamma carbonic anhydrase family protein	20260210	-
24	67441627	JEZ96_RS00175	JEZ96_RS00175	-	-	-	-	16S ribosomal RNA	rRNA	-	-	-	-	20241215	-
24	67441628	JEZ96_RS00180	JEZ96_RS00180	-	-	-	-	23S ribosomal RNA	rRNA	-	-	-	-	20241215	-
24	67441629	rrf	JEZ96_RS00185	-	-	-	-	5S ribosomal RNA	rRNA	-	-	-	-	20241215	-
24	67441630	JEZ96_RS00190	JEZ96_RS00190	-	-	-	-	EAL domain-containing protein	protein-coding	-	-	-	EAL domain-containing protein	20260210	-
24	67441631	JEZ96_RS00195	JEZ96_RS00195	-	-	-	-	alpha/beta fold hydrolase	protein-coding	-	-	-	alpha/beta fold hydrolase	20260210	-
24	67441632	JEZ96_RS00200	JEZ96_RS00200	-	-	-	-	DUF885 domain-containing protein	protein-coding	-	-	-	DUF885 domain-containing protein	20260210	-
24	67441633	add	JEZ96_RS00205	-	-	-	-	adenosine deaminase	protein-coding	-	-	-	adenosine deaminase	20260210	-
24	67441634	hemN	JEZ96_RS00210	-	-	-	-	oxygen-independent coproporphyrinogen III oxidase	protein-coding	-	-	-	oxygen-independent coproporphyrinogen III oxidase	20251214	-
24	67441635	JEZ96_RS00215	JEZ96_RS00215	-	-	-	-	DUF2489 domain-containing protein	protein-coding	-	-	-	DUF2489 domain-containing protein	20260210	-
24	67441636	yihI	JEZ96_RS00220	-	-	-	-	Der GTPase-activating protein YihI	protein-coding	-	-	-	Der GTPase-activating protein YihI	20251214	-
24	67441637	JEZ96_RS00225	JEZ96_RS00225	-	-	-	-	methyltransferase domain-containing protein	protein-coding	-	-	-	methyltransferase domain-containing protein	20260210	-
24	67441638	JEZ96_RS00230	JEZ96_RS00230	-	-	-	-	c-type cytochrome	protein-coding	-	-	-	c-type cytochrome	20260210	-
24	67441639	yihA	JEZ96_RS00235	-	-	-	-	ribosome biogenesis GTP-binding protein YihA/YsxC	protein-coding	-	-	-	ribosome biogenesis GTP-binding protein YihA/YsxC	20260210	-
24	67441640	polA	JEZ96_RS00240	-	-	-	-	DNA polymerase I	protein-coding	-	-	-	DNA polymerase I	20260210	-
24	67441641	elbB	JEZ96_RS00245	-	-	-	-	isoprenoid biosynthesis glyoxalase ElbB	protein-coding	-	-	-	isoprenoid biosynthesis glyoxalase ElbB	20260210	-
24	67441642	glpG	JEZ96_RS00250	-	-	-	-	rhomboid family intramembrane serine protease GlpG	protein-coding	-	-	-	rhomboid family intramembrane serine protease GlpG	20260210	-
24	67441643	glpE	JEZ96_RS00255	-	-	-	-	thiosulfate sulfurtransferase GlpE	protein-coding	-	-	-	thiosulfate sulfurtransferase GlpE	20260210	-
24	67441644	tdh	JEZ96_RS00260	-	-	-	-	L-threonine 3-dehydrogenase	protein-coding	-	-	-	L-threonine 3-dehydrogenase	20260210	-
24	67441645	JEZ96_RS00265	JEZ96_RS00265	-	-	-	-	glycine C-acetyltransferase	protein-coding	-	-	-	glycine C-acetyltransferase	20260210	-
24	67441646	JEZ96_RS00270	JEZ96_RS00270	-	-	-	-	TetR/AcrR family transcriptional regulator	protein-coding	-	-	-	TetR/AcrR family transcriptional regulator	20260210	-
24	67441647	waaA	JEZ96_RS00275	-	-	-	-	lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase	protein-coding	-	-	-	lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase	20260210	-
24	67441648	JEZ96_RS00280	JEZ96_RS00280	-	-	-	-	3-deoxy-D-manno-octulosonic acid kinase	protein-coding	-	-	-	3-deoxy-D-manno-octulosonic acid kinase	20260210	-
24	67441649	JEZ96_RS00285	JEZ96_RS00285	-	-	-	-	glycosyltransferase family 9 protein	protein-coding	-	-	-	glycosyltransferase family 9 protein	20260210	-
24	67441650	JEZ96_RS00290	JEZ96_RS00290	-	-	-	-	glycosyltransferase family 25 protein	protein-coding	-	-	-	glycosyltransferase family 25 protein	20260210	-
24	67441651	JEZ96_RS00295	JEZ96_RS00295	-	-	-	-	glycosyltransferase	protein-coding	-	-	-	glycosyltransferase	20260210	-
