Journal Title,ISSN,eISSN,Year,Volume,Issue,Page,DOI,PMCID,PMID,Manuscript Id,Release Date
Breast Cancer Res,1465-5411,1465-542X,2000,3,1,55,10.1186/bcr271,PMC13900,11250746,,live
Breast Cancer Res,1465-5411,1465-542X,2000,3,1,61,10.1186/bcr272,PMC13901,11250747,,live
Breast Cancer Res,1465-5411,1465-542X,2000,3,1,66,10.1186/bcr273,PMC13902,11250748,,live
Breast Cancer Res,1465-5411,1465-542X,1999,2,1,59,10.1186/bcr29,PMC13911,11056684,,live
Breast Cancer Res,1465-5411,1465-542X,1999,2,1,64,10.1186/bcr30,PMC13912,11400682,,live
Breast Cancer Res,1465-5411,1465-542X,1999,1,1,73,10.1186/bcr16,PMC13913,11056681,,live
Breast Cancer Res,1465-5411,1465-542X,1999,1,1,81,10.1186/bcr17,PMC13914,11056682,,live
Breast Cancer Res,1465-5411,1465-542X,1999,1,1,88,10.1186/bcr18,PMC13915,11056683,,live
Breast Cancer Res,1465-5411,1465-542X,2000,2,2,139,10.1186/bcr45,PMC13916,11056686,,live
Breast Cancer Res,1465-5411,1465-542X,2000,2,3,222,10.1186/bcr57,PMC13917,11056687,,live
Breast Cancer Res,1465-5411,1465-542X,2000,2,4,307,10.1186/bcr72,PMC13918,11056688,,live
Breast Cancer Res,1465-5411,1465-542X,2000,2,4,311,10.1186/bcr73,PMC13919,11056689,,live
Breast Cancer Res,1465-5411,1465-542X,2000,2,5,378,10.1186/bcr82,PMC13920,11056690,,live
Breast Cancer Res,1465-5411,1465-542X,2000,2,6,438,10.1186/bcr91,PMC13921,11056691,,live
Breast Cancer Res,1465-5411,1465-542X,2000,2,6,444,10.1186/bcr92,PMC13922,11056692,,live
Breast Cancer Res,1465-5411,1465-542X,2000,3,2,122,10.1186/bcr284,PMC13923,11250759,,live
Breast Cancer Res,1465-5411,1465-542X,2001,3,2,134,10.1186/bcr285,PMC13924,11250760,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,26,10.1073/pnas.011393898,PMC14538,11134511,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,31,10.1073/pnas.011404098,PMC14539,11134512,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,37,10.1073/pnas.011442198,PMC14540,11120885,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,42,10.1073/pnas.011408598,PMC14541,11120883,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,48,10.1073/pnas.240458597,PMC14542,11134536,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,1,54,10.1073/pnas.98.1.54,PMC14543,11136247,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,60,10.1073/pnas.011524698,PMC14544,11120889,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,63,10.1073/pnas.011535498,PMC14545,11134527,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,69,10.1073/pnas.011526698,PMC14546,11120890,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,75,10.1073/pnas.011311398,PMC14547,11134506,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,1,81,10.1073/pnas.98.1.81,PMC14548,11136248,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,87,10.1073/pnas.011405598,PMC14549,11134513,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,93,10.1073/pnas.011303698,PMC14550,11134505,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,99,10.1073/pnas.021537498,PMC14551,11134531,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,1,105,10.1073/pnas.98.1.105,PMC14552,11136249,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,113,10.1073/pnas.021537998,PMC14553,11134532,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,119,10.1073/pnas.011343298,PMC14554,11134507,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,125,10.1073/pnas.021541498,PMC14555,11134534,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,1,130,10.1073/pnas.98.1.130,PMC14556,11136250,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,136,10.1073/pnas.011528498,PMC14557,11134523,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,142,10.1073/pnas.011525198,PMC14558,11134521,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,1,148,10.1073/pnas.98.1.148,PMC14559,11136251,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,1,154,10.1073/pnas.98.1.154,PMC14560,11136252,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,160,10.1073/pnas.011393998,PMC14561,11120880,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,1,166,10.1073/pnas.98.1.166,PMC14562,11136253,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,1,171,10.1073/pnas.98.1.171,PMC14563,11136254,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,176,10.1073/pnas.011511298,PMC14564,11120887,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,1,182,10.1073/pnas.98.1.182,PMC14565,11136255,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,188,10.1073/pnas.250216797,PMC14566,11114173,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,194,10.1073/pnas.011522998,PMC14567,11134518,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,200,10.1073/pnas.011347998,PMC14568,11134508,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,1,206,10.1073/pnas.98.1.206,PMC14569,11136256,,live
